Операционные сутки;Час;Интервал (Астана);МВт;P10, МВт;P90, МВт
2026-02-27;01:00;00:00–01:00;3,821;2,089;4,928
2026-02-27;02:00;01:00–02:00;3,897;1,983;4,950
2026-02-27;03:00;02:00–03:00;3,841;1,920;4,939
2026-02-27;04:00;03:00–04:00;3,727;1,777;4,909
2026-02-27;05:00;04:00–05:00;3,965;1,296;4,874
2026-02-27;06:00;05:00–06:00;2,963;0,920;4,728
2026-02-27;07:00;06:00–07:00;2,367;0,521;4,505
2026-02-27;08:00;07:00–08:00;1,803;0,248;4,096
2026-02-27;09:00;08:00–09:00;1,774;0,118;4,162
2026-02-27;10:00;09:00–10:00;1,455;0,126;3,908
2026-02-27;11:00;10:00–11:00;1,304;0,049;3,355
2026-02-27;12:00;11:00–12:00;1,014;0,074;3,422
2026-02-27;13:00;12:00–13:00;1,484;0,150;3,982
2026-02-27;14:00;13:00–14:00;2,122;0,302;4,479
2026-02-27;15:00;14:00–15:00;2,811;0,787;4,752
2026-02-27;16:00;15:00–16:00;3,369;1,572;4,930
2026-02-27;17:00;16:00–17:00;4,135;2,294;4,974
2026-02-27;18:00;17:00–18:00;3,947;2,373;4,933
2026-02-27;19:00;18:00–19:00;4,018;2,628;4,960
2026-02-27;20:00;19:00–20:00;4,148;2,733;4,935
2026-02-27;21:00;20:00–21:00;4,062;2,310;4,901
2026-02-27;22:00;21:00–22:00;3,542;1,713;4,883
2026-02-27;23:00;22:00–23:00;3,282;1,562;4,830
2026-02-27;24:00;23:00–24:00;3,033;1,256;4,768
